timestamp,bucket_values
2022-02-01T03:50:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.006, 0.007, 0.023, 0.112, 0.205, 0.248, 0.219, 0.123, 0.039, 0.01, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-01T08:39:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.006, 0.007, 0.02, 0.085, 0.162, 0.213, 0.223, 0.164, 0.085, 0.024, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-02T09:56:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.005, 0.009, 0.017, 0.033, 0.056, 0.083, 0.14, 0.186, 0.179, 0.159, 0.089, 0.029, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-03T07:55:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.003, 0.003, 0.008, 0.016, 0.026, 0.047, 0.082, 0.123, 0.177, 0.198, 0.161, 0.1, 0.044, 0.01, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-04T09:47:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.004, 0.002, 0.008, 0.02, 0.086, 0.202, 0.261, 0.223, 0.125, 0.049, 0.012, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-05T08:59:30,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.004, 0.007, 0.014, 0.025, 0.085, 0.217, 0.22, 0.169, 0.131, 0.086, 0.033, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-06T11:06:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.001, 0.003, 0.016, 0.095, 0.15, 0.205, 0.245, 0.191, 0.07, 0.015, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-07T08:50:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.003, 0.005, 0.012, 0.015, 0.035, 0.075, 0.157, 0.246, 0.239, 0.143, 0.051, 0.01, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-08T09:58:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.002, 0.003, 0.006, 0.009, 0.018, 0.039, 0.087, 0.152, 0.226, 0.212, 0.165, 0.062, 0.013, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-09T09:45:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.002, 0.003, 0.009, 0.015, 0.027, 0.068, 0.146, 0.197, 0.211, 0.177, 0.102, 0.031, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-10T08:22:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.001, 0.002, 0.005, 0.009, 0.016, 0.032, 0.086, 0.16, 0.204, 0.191, 0.144, 0.096, 0.037, 0.01, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-11T08:36:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.009, 0.007, 0.008, 0.022, 0.071, 0.11, 0.136, 0.169, 0.175, 0.146, 0.085, 0.043, 0.011, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-12T09:51:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.006, 0.014, 0.019, 0.047, 0.119, 0.193, 0.233, 0.194, 0.108, 0.042, 0.014, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-13T08:56:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.006, 0.002, 0.005, 0.008, 0.013, 0.02, 0.054, 0.121, 0.197, 0.23, 0.18, 0.107, 0.043, 0.01, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-14T07:02:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.002, 0.002, 0.004, 0.009, 0.017, 0.031, 0.055, 0.105, 0.159, 0.197, 0.186, 0.134, 0.068, 0.021, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-15T05:32:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.003, 0.005, 0.011, 0.026, 0.058, 0.087, 0.089, 0.102, 0.137, 0.182, 0.166, 0.095, 0.028, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-16T03:48:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.004, 0.002, 0.005, 0.014, 0.046, 0.098, 0.135, 0.165, 0.181, 0.155, 0.099, 0.053, 0.026, 0.011, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-16T09:26:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.004, 0.002, 0.004, 0.013, 0.035, 0.071, 0.11, 0.149, 0.18, 0.171, 0.135, 0.081, 0.031, 0.009, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-17T08:56:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.002, 0.006, 0.024, 0.055, 0.116, 0.166, 0.199, 0.187, 0.131, 0.071, 0.03, 0.007, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-18T07:42:00,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.007, 0.006, 0.011, 0.083, 0.272, 0.284, 0.201, 0.093, 0.028, 0.011, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-19T09:21:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.002, 0.003, 0.006, 0.011, 0.021, 0.046, 0.093, 0.171, 0.198, 0.177, 0.145, 0.089, 0.026, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-20T09:27:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.002, 0.002, 0.005, 0.009, 0.023, 0.052, 0.089, 0.144, 0.188, 0.209, 0.163, 0.08, 0.022, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-21T08:38:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.002, 0.003, 0.011, 0.023, 0.049, 0.095, 0.166, 0.224, 0.224, 0.14, 0.044, 0.011, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-22T08:45:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.003, 0.003, 0.004, 0.01, 0.014, 0.033, 0.095, 0.187, 0.235, 0.198, 0.128, 0.058, 0.02, 0.006, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-23T07:13:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.001, 0.002, 0.006, 0.015, 0.031, 0.073, 0.141, 0.181, 0.205, 0.179, 0.116, 0.035, 0.008, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-24T07:29:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.003, 0.003, 0.005, 0.017, 0.043, 0.049, 0.075, 0.144, 0.22, 0.216, 0.144, 0.058, 0.016, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-25T10:07:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.002, 0.003, 0.004, 0.008, 0.013, 0.037, 0.087, 0.168, 0.23, 0.214, 0.145, 0.06, 0.016, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-26T09:15:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.001, 0.002, 0.002, 0.007, 0.009, 0.015, 0.04, 0.096, 0.184, 0.248, 0.227, 0.124, 0.032, 0.007, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-27T09:42:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.004, 0.002, 0.006, 0.01, 0.015, 0.025, 0.079, 0.164, 0.235, 0.227, 0.147, 0.057, 0.019, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-28T08:15:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.002, 0.006, 0.01, 0.024, 0.061, 0.114, 0.203, 0.242, 0.192, 0.098, 0.034, 0.008, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
